model,n_lang,spearman_rho_ppc,spearman_p_ppc,spearman_rho_fragH,spearman_p_fragH,ols_beta_const,ols_beta_ppc_z,ols_beta_fragH_z,ols_p_const,ols_p_ppc_z,ols_p_fragH_z,ols_r2
Qwen/Qwen2.5-7B,14,-0.1076923076923077,0.7146285371462854,-0.054945054945054944,0.8520147985201479,-0.009032852814665841,0.006224287844128758,-0.002546955407600365,0.9914008599140086,0.3852614738526147,0.7301269873012699,0.11747898153164937
microsoft/Phi-3-mini-4k-instruct,12,0.18181818181818185,0.5708429157084292,-0.35026323416917315,0.26747325267473254,-0.03956965377761258,0.03766937168268925,-0.01638142853312577,0.9192080791920808,0.6592340765923408,0.7453254674532547,0.18433372625123334
meta-llama/Llama-3.2-1B,14,-0.2527472527472528,0.38786121387861217,-0.002197802197802198,1.0,-0.0033984365207808207,-0.0011433467653149594,-0.00018882643638282355,0.9094090590940906,0.7736226377362264,0.9594040595940406,0.01010706445325027
